idA	idB	O	OHA	OHB	OLA	OLB	K
6482	85802	N	-166	-165	85	85	0
6482	104758	N	-93	-92	158	158	3
6482	46853	N	-212	-211	39	39	0
6482	48228	N	-75	-78	172	172	0
6482	11959	N	105	106	145	145	0
97740	30636	N	85	86	164	164	0
97740	39998	N	117	119	132	132	2
77051	96699	N	197	197	54	54	1
70373	52073	N	156	156	94	94	1
70373	30669	N	144	144	106	106	1
70373	57999	N	166	166	84	84	1
70373	72063	N	-30	-30	220	220	4
70373	76614	N	144	143	106	106	2
70373	25006	N	-87	-86	164	164	3
70373	44246	N	144	144	106	106	2
70373	86858	N	156	156	94	94	1
70373	87140	N	-212	-211	39	39	0
85123	16888	N	60	59	191	191	3
85123	60354	N	-25	-25	226	226	1
30636	39998	N	32	33	218	218	3
68969	57259	N	-48	-47	203	203	4
68969	17238	N	-177	-176	74	74	1
99339	56087	N	161	162	89	89	1
99339	49992	N	-187	-186	64	64	0
99339	84993	N	-188	-187	63	63	1
98432	81357	N	-9	-10	241	241	1
98432	14869	N	-214	-215	36	36	0
98432	72441	N	-171	-172	79	79	0
62277	43866	N	117	121	130	130	2
62277	48507	N	71	74	176	176	3
62277	83432	N	-123	-119	128	128	2
62277	86087	N	-43	-39	208	208	0
62277	40041	N	35	36	212	212	4
10902	31702	N	85	89	162	162	0
10902	23800	N	225	229	22	22	0
10902	12877	N	-218	-215	32	32	0
52073	30669	N	-12	-12	238	238	4
52073	25694	N	-44	-43	207	207	2
52073	5189	N	-40	-39	211	211	0
52073	57999	N	10	10	240	240	4
52073	72063	N	-186	-186	64	64	0
52073	5799	N	-184	-183	67	67	1
52073	98826	N	133	134	117	117	1
52073	48482	N	-43	-42	208	208	4
52073	43735	N	0	0	250	250	5
52073	41924	N	-223	-222	28	28	0
52073	14000	N	-40	-39	211	211	1
52073	76162	N	-172	-172	78	78	1
52073	80079	N	146	147	104	104	0
52073	44246	N	-12	-12	238	238	0
52073	100935	N	-49	-48	202	202	4
52073	86858	N	0	0	250	250	5
52073	99761	N	-184	-183	67	67	1
52073	63977	N	-33	-33	217	217	3
72859	76850	N	77	79	172	172	2
72859	44904	N	-177	-176	73	73	0
72859	47604	N	-189	-188	61	61	1
72859	75715	N	38	39	211	211	2
72859	105323	N	-189	-188	61	61	0
30669	25694	N	-32	-31	219	219	1
30669	5189	N	-28	-27	223	223	3
30669	57999	N	22	22	228	228	0
30669	72063	N	-174	-174	76	76	1
30669	76614	N	0	-1	249	249	2
30669	5799	N	-172	-171	79	79	1
30669	98826	N	145	146	105	105	2
30669	48482	N	-31	-30	220	220	3
30669	43735	N	12	12	238	238	4
30669	25006	N	-231	-230	20	20	0
30669	41924	N	-211	-210	40	40	0
30669	14000	N	-28	-27	223	223	3
30669	76162	N	-160	-160	90	90	1
30669	44246	N	0	0	250	250	5
30669	100935	N	-37	-36	214	214	3
30669	86858	N	12	12	238	238	4
30669	99761	N	-172	-171	79	79	1
30669	63977	N	-21	-21	229	229	1
3486	59735	N	117	116	134	134	0
3486	85802	N	-73	-73	178	178	1
3486	71686	N	-152	-152	99	99	1
3486	69169	N	34	33	217	217	1
3486	104758	N	0	0	251	251	2
3486	96202	N	120	120	131	131	2
3486	1050	N	25	25	226	226	1
3486	46853	N	-119	-119	132	132	1
3486	55811	N	95	95	156	156	2
3486	45568	N	171	171	80	80	1
46376	8710	N	155	155	95	95	1
46376	36112	N	126	125	124	124	0
46376	10928	N	-145	-145	105	105	0
46376	20111	N	137	130	113	113	0
46376	55470	N	201	200	49	49	0
46376	102740	N	47	48	203	203	0
13089	106462	N	210	210	41	41	0
13089	45905	N	182	182	69	69	1
13089	56278	N	217	216	34	34	0
25694	57999	N	54	53	197	197	0
25694	76614	N	32	30	219	219	2
25694	98826	N	177	177	74	74	0
25694	43735	N	44	43	207	207	3
25694	76162	N	-128	-129	122	122	2
25694	80079	N	190	190	61	61	0
25694	44246	N	32	31	219	219	2
25694	86858	N	44	43	207	207	1
25694	20341	N	130	128	121	121	1
25694	63977	N	11	10	240	240	0
5189	57999	N	50	49	201	201	2
5189	72063	N	-146	-147	104	104	0
5189	76614	N	28	26	223	223	2
5189	98826	N	173	173	78	78	1
5189	43735	N	40	39	211	211	4
5189	14000	N	0	0	251	251	2
5189	80079	N	186	186	65	65	0
5189	44246	N	28	27	223	223	2
5189	86858	N	40	39	211	211	3
92377	68474	N	112	113	138	138	1
57999	72063	N	-196	-196	54	54	0
57999	76614	N	-22	-23	227	227	1
57999	5799	N	-194	-193	57	57	1
57999	98826	N	123	124	127	127	2
57999	48482	N	-53	-52	198	198	3
57999	43735	N	-10	-10	240	240	4
57999	14000	N	-50	-49	201	201	3
57999	76162	N	-182	-182	68	68	1
57999	80079	N	136	137	114	114	2
57999	44246	N	-22	-22	228	228	4
57999	100935	N	-59	-58	192	192	3
57999	86858	N	-10	-10	240	240	4
57999	99761	N	-194	-193	57	57	1
57999	63977	N	-43	-43	207	207	0
8710	47320	N	-117	-116	134	134	1
21690	78341	N	-73	-73	178	178	3
21690	58337	N	195	193	56	56	1
21690	15175	N	-145	-146	105	105	2
72063	76614	N	174	173	76	76	0
72063	5799	N	2	3	248	248	3
72063	43735	N	186	186	64	64	1
72063	67029	N	-228	-227	23	23	0
72063	25006	N	-57	-56	194	194	2
72063	41924	N	-37	-36	214	214	3
72063	14000	N	146	147	104	104	1
72063	84763	N	174	174	76	76	1
72063	86858	N	186	186	64	64	0
72063	87140	N	-182	-181	69	69	1
72063	99761	N	2	3	248	248	3
65943	63578	N	-224	-224	27	27	0
65943	54049	N	212	207	39	39	0
65943	49781	N	-200	-200	51	51	0
65943	61893	N	-28	-29	222	222	0
65943	13990	N	220	220	31	31	0
63578	49781	N	24	24	227	227	1
63578	61893	N	196	195	55	55	0
55648	54466	N	-218	-218	32	32	0
55648	37157	N	64	65	186	186	0
76614	48482	N	-31	-29	220	220	4
76614	14000	N	-28	-26	223	223	4
76614	100935	N	-37	-35	214	214	4
76614	63977	N	-21	-20	229	229	2
10016	8500	N	59	59	192	192	1
10016	49341	N	-1	-1	250	250	1
10016	68864	N	-72	-72	179	179	2
40055	1713	N	185	183	66	66	0
40055	89186	N	228	227	23	23	0
36112	8487	N	-88	-86	163	163	3
36112	20111	N	11	5	238	238	4
36112	55470	N	75	75	174	174	1
36112	75101	N	143	144	106	106	2
36112	102740	N	-79	-77	172	172	0
49687	2324	N	229	229	21	21	0
49687	65411	N	-210	-211	39	39	0
18851	58851	N	-175	-175	76	76	0
45791	51472	N	133	133	118	118	1
27072	78610	N	-166	-166	83	83	0
11234	47507	N	-37	-36	214	214	4
11234	79560	N	-64	-63	187	187	1
11234	20726	N	-24	-24	226	226	4
85077	71732	N	-68	-70	181	181	0
85077	107234	N	-219	-220	31	31	0
95790	61155	N	66	66	185	185	1
33452	28381	N	-106	-105	145	145	1
33452	31702	N	193	194	57	57	0
47501	25946	N	109	110	141	141	0
47501	13620	N	-8	-8	242	242	1
47501	9345	N	59	60	191	191	0
47501	58337	N	-86	-87	163	163	3
39156	101868	N	96	97	154	154	0
43963	13286	N	146	146	104	104	1
43963	65621	N	0	0	250	250	5
43963	24401	N	-197	-196	54	54	1
43866	60765	N	132	132	119	119	2
43866	98677	N	181	180	70	70	1
43866	52707	N	196	194	55	55	1
13286	62735	N	170	170	80	80	0
5799	48482	N	141	141	110	110	0
5799	43735	N	184	183	67	67	0
5799	67029	N	-230	-230	21	21	0
5799	25006	N	-59	-59	192	192	0
5799	41924	N	-39	-39	212	212	1
5799	14000	N	144	144	107	107	2
5799	84763	N	172	171	79	79	1
5799	100935	N	135	135	116	116	0
5799	86858	N	184	183	67	67	1
5799	87140	N	-184	-184	67	67	1
5799	99761	N	0	0	251	251	0
67765	48507	N	-28	-28	222	222	1
67765	60763	N	-115	-114	136	136	0
67765	6220	N	-185	-187	63	63	0
67765	40041	N	-64	-66	184	184	3
67765	52707	N	214	213	36	36	0
59735	85802	N	-190	-189	61	61	0
59735	28381	N	159	160	91	91	0
59735	69169	N	-83	-83	167	167	2
59735	104758	N	-117	-116	134	134	1
59735	96202	N	3	4	247	247	2
59735	1050	N	-92	-91	159	159	2
59735	67648	N	215	216	35	35	0
59735	12222	N	-120	-119	131	131	2
59735	55811	N	-22	-21	229	229	2
59735	45568	N	54	55	196	196	1
15920	28381	N	108	108	143	143	2
15920	35205	N	-35	-35	216	216	2
15920	36852	N	214	214	37	37	0
15920	96202	N	-48	-48	203	203	4
85802	98826	N	-228	-228	23	23	0
85802	71686	N	-79	-79	172	172	3
85802	69169	N	107	106	144	144	1
85802	104758	N	73	73	178	178	1
85802	1050	N	98	98	153	153	1
85802	80079	N	-215	-215	36	36	0
85802	46853	N	-46	-46	205	205	2
85802	48228	N	91	87	160	160	2
100463	62735	N	153	152	98	98	1
100463	56109	N	-111	-111	140	140	1
100463	56326	N	-168	-169	82	82	1
22343	8487	N	185	186	65	65	0
22343	47320	N	185	186	65	65	1
70898	51205	N	-96	-96	155	155	2
70898	59036	N	-94	-94	157	157	2
70898	97642	N	152	148	99	99	0
48507	60763	N	-87	-86	164	164	2
10928	9345	N	-226	-225	25	25	0
10928	13598	N	-198	-198	52	52	0
10928	102740	N	192	193	58	58	0
98826	48482	N	-176	-176	75	75	1
98826	43735	N	-133	-134	117	117	2
98826	14000	N	-173	-173	78	78	1
98826	80079	N	13	13	238	238	0
