idA	idB	O	OHA	OHB	OLA	OLB	K
48664	63932	N	-88	-88	163	163	0
48664	82089	N	42	41	209	209	1
48664	37068	N	-25	-25	226	226	1
48664	6741	N	-126	-126	125	125	0
48664	89533	N	166	166	85	85	1
48664	80224	N	128	127	123	123	0
48664	66976	N	1	1	250	250	2
48664	43590	N	-15	-16	235	235	0
48664	2579	N	74	73	177	177	2
48664	82582	N	-24	-24	227	227	0
48664	68972	N	-16	-16	235	235	2
48664	67895	N	-32	-33	218	218	0
48664	50806	N	-160	-160	91	91	0
48664	3308	N	-164	-164	87	87	0
23115	67005	N	-78	-78	172	172	0
23115	106899	N	58	59	192	192	0
23115	14034	N	-9	-9	241	241	1
23115	63932	N	164	165	86	86	0
23115	6741	N	126	127	124	124	0
23115	79926	N	-68	-67	183	183	0
23115	78520	N	-66	-65	185	185	1
23115	67563	N	21	22	229	229	1
23115	9183	N	-142	-141	109	109	0
23115	58623	N	-20	-19	231	231	0
23115	50806	N	92	93	158	158	0
23115	3308	N	88	89	162	162	0
17162	84732	N	99	99	151	151	0
17162	1109	N	-108	-107	143	143	0
19876	93263	N	-125	-124	126	126	0
19876	27333	N	-124	-123	127	127	0
19876	25121	N	-113	-112	138	138	0
19876	1914	N	-66	-65	185	185	0
19876	82712	N	129	129	121	121	0
19876	104275	N	-116	-119	131	131	0
19876	31383	N	-155	-154	96	96	0
19876	6892	N	-111	-114	136	136	1
19876	6721	N	-159	-158	92	92	0
19876	68961	N	-30	-29	221	221	1
80150	30925	N	-145	-144	106	106	0
47918	20503	N	84	83	167	167	1
47918	66381	N	59	58	192	192	0
39362	49291	N	164	165	86	86	0
39362	94402	N	48	49	202	202	1
39362	11568	N	138	132	112	112	1
39362	8778	N	52	53	198	198	2
39362	2151	N	46	47	204	204	2
39362	93410	N	74	74	176	176	1
33871	93441	N	-78	-78	172	172	1
33871	47882	N	-62	-61	189	189	2
33871	41197	N	-40	-39	211	211	1
33871	58349	N	48	47	202	202	0
33871	77848	N	-87	-86	164	164	1
33871	11362	N	-78	-78	172	172	1
22059	90108	N	-22	-22	228	228	0
22059	105553	N	-9	-9	241	241	0
92218	67705	N	-163	-157	88	88	0
8472	82250	N	-106	-104	145	145	0
8472	20962	N	-164	-163	86	86	0
93980	96432	N	138	133	113	113	0
93980	21886	N	-117	-118	133	133	1
93980	50369	N	-86	-86	165	165	0
93980	37119	N	61	57	190	190	2
93980	67260	N	118	118	133	133	1
93980	73873	N	103	103	148	148	1
93980	93593	N	-101	-101	150	150	0
93980	19408	N	-52	-52	199	199	0
93980	103743	N	103	103	148	148	1
16074	38641	N	-168	-168	83	83	0
16074	63932	N	64	64	187	187	2
16074	43590	N	137	136	114	114	1
16074	82582	N	128	128	123	123	1
16074	68972	N	136	136	115	115	1
16074	67895	N	120	119	131	131	1
92449	8516	N	-82	-80	169	169	0
39320	103653	N	-33	-33	218	218	1
39320	92027	N	-78	-78	173	173	0
39320	70304	N	-67	-67	184	184	0
39320	5749	N	37	36	214	214	0
39320	98478	N	-163	-167	84	84	0
39320	77254	N	30	30	221	221	1
96280	74238	N	-53	-57	193	193	2
96280	32647	N	52	52	198	198	1
96280	73802	N	-163	-163	87	87	0
96280	2281	N	-7	-7	243	243	1
96280	50976	N	0	0	250	250	0
96280	84882	N	-166	-165	85	85	1
51785	91628	N	69	69	182	182	1
51785	1849	N	44	44	207	207	1
51785	96432	N	-59	-64	187	187	1
51785	37119	N	-136	-140	111	111	1
51785	73873	N	-94	-94	157	157	1
51785	21943	N	-141	-142	109	109	1
24098	14177	N	-164	-164	87	87	0
24098	78532	N	-85	-85	166	166	0
24098	17878	N	-119	-121	130	130	1
24098	76402	N	-62	-62	189	189	2
73062	89644	N	75	75	176	176	0
73062	21141	N	36	36	215	215	2
73062	89533	N	167	167	84	84	1
73062	55804	N	-153	-153	98	98	0
73062	565	N	-87	-87	164	164	0
98252	63893	N	71	70	180	180	0
98252	97691	N	142	141	109	109	1
98252	8834	N	132	132	119	119	0
98252	90208	N	123	123	128	128	0
98252	72666	N	0	0	251	251	2
98252	58074	N	144	144	107	107	0
98252	44796	N	34	34	217	217	0
3736	97343	N	-14	-14	237	237	1
3736	61270	N	-103	-104	147	147	1
3736	41334	N	-130	-131	120	120	1
3736	61634	N	47	47	204	204	1
3736	93895	N	-78	-78	173	173	1
19575	23782	N	-153	-154	97	97	0
19575	95803	N	-97	-99	152	152	1
19575	20468	N	-79	-85	166	166	1
19575	43755	N	130	130	121	121	1
19575	91106	N	-31	-33	218	218	1
73322	70919	N	70	70	181	181	2
73322	96446	N	-28	-28	223	223	1
73322	49523	N	69	67	182	182	0
92375	33150	N	-155	-152	95	95	1
92375	102717	N	-107	-103	144	144	1
92375	21017	N	-113	-109	138	138	0
74238	62649	N	-159	-154	92	92	0
74238	50976	N	53	57	193	193	2
74238	97050	N	46	50	200	200	2
74238	56106	N	-62	-58	188	188	1
74238	61270	N	-71	-67	179	179	2
74238	30580	N	63	68	183	183	2
74238	99498	N	145	147	101	101	0
74238	84882	N	-113	-108	138	138	0
74238	96742	N	68	71	178	178	2
74238	65353	N	45	49	201	201	0
74238	106806	N	46	50	200	200	1
32647	2281	N	-59	-59	191	191	0
32647	50976	N	-52	-52	198	198	1
32647	55291	N	140	141	110	110	1
25000	84732	N	-110	-110	140	140	1
25000	11604	N	-123	-123	127	127	0
25000	63223	N	-33	-32	218	218	0
25000	23551	N	-166	-165	85	85	0
68107	35325	N	-16	-15	235	235	1
68107	69385	N	-60	-61	189	189	1
27138	70950	N	22	22	229	229	1
27138	1867	N	-139	-139	112	112	1
27138	28503	N	83	83	168	168	0
27138	14486	N	-142	-143	108	108	1
27138	47647	N	-21	-21	230	230	0
27138	61453	N	93	93	158	158	0
27138	98893	N	171	171	80	80	0
27138	67595	N	49	49	202	202	1
27138	18461	N	-142	-143	108	108	0
27138	61219	N	-145	-145	106	106	0
27138	39927	N	-138	-139	112	112	0
27138	49036	N	-65	-66	185	185	0
79213	20933	N	9	10	241	241	1
79213	61736	N	21	17	229	229	0
79213	83032	N	117	118	133	133	1
79213	68838	N	0	0	250	250	1
31219	5423	N	-34	-36	215	215	2
31219	97472	N	-68	-69	182	182	1
31219	35584	N	-99	-99	152	152	1
91628	1849	N	-25	-25	226	226	0
91628	75096	N	144	143	107	107	0
91628	96432	N	-128	-133	118	118	0
91628	73873	N	-163	-163	88	88	0
91628	5429	N	149	149	102	102	1
91628	103743	N	-163	-163	88	88	0
91628	53284	N	117	117	134	134	1
76564	79454	N	14	14	237	237	0
47987	55291	N	-49	-49	202	202	1
63214	92678	N	6	6	245	245	2
63214	7209	N	-75	-76	175	175	2
63214	45365	N	-73	-73	178	178	2
63214	76040	N	-75	-76	175	175	2
63214	25923	N	-73	-73	178	178	2
63214	86421	N	-60	-60	191	191	2
63214	104374	N	-111	-111	140	140	1
63214	39083	N	23	23	228	228	1
103321	64608	N	146	146	105	105	0
103321	6241	N	-26	-27	224	224	0
103321	85503	N	-146	-148	103	103	0
78746	102716	N	23	23	228	228	1
78746	40806	N	114	114	137	137	1
94619	53933	N	21	20	229	229	1
94619	85949	N	52	52	198	198	0
94619	89732	N	24	24	226	226	2
94619	33793	N	137	138	113	113	1
45864	79378	N	-56	-55	195	195	0
104512	32037	N	117	118	132	132	1
104512	1914	N	164	166	85	85	1
104512	60409	N	118	120	131	131	1
104512	25339	N	80	82	169	169	0
76560	62311	N	-69	-70	181	181	2
56658	31323	N	140	137	110	110	0
56658	8421	N	89	88	161	161	1
56991	28584	N	95	95	156	156	0
56991	85835	N	138	137	113	113	0
56991	19558	N	44	43	207	207	0
